i,j,t
18,7,71
49,45,29
42,72,18
31,15,43
0,37,13
3,73,32
35,2,30
65,62,45
54,43,65
33,59,25
14,64,71
7,13,36
17,54,28
2,42,14
4,71,70
22,29,20
72,6,56
26,20,45
56,13,15
12,50,46
31,7,5
40,38,48
8,74,32
29,70,7
57,27,7
0,10,47
32,74,10
69,40,66
18,3,47
32,36,29
57,4,31
12,59,55
11,35,60
28,38,58
35,22,54
28,21,55
69,26,41
55,68,18
19,68,73
65,55,7
34,49,13
10,39,50
0,56,24
71,70,33
15,55,39
36,2,42
43,4,48
11,3,69
62,7,49
59,17,17
12,35,65
19,40,26
5,62,45
22,31,45
49,39,51
22,68,10
0,10,63
0,13,74
45,30,54
62,52,9
7,59,64
4,14,11
10,49,33
19,31,54
53,20,35
55,25,48
49,4,27
28,19,42
28,21,4
70,30,53
24,41,15
66,23,3
9,58,74
70,12,41
29,58,47
56,8,24
7,56,38
67,67,38
46,46,46
23,40,25
55,60,39
19,26,12
71,33,52
51,58,56
42,37,36
