node,value
2,0.3
3,0.15
4,0.1275
5,0.32770123
7,0.535766625
10,0.363466826
11,0.235766625
12,0.235766625
13,0.555
14,0.2775
15,0.2775
19,0.15
20,0.2775
21,0.3
22,0.15
24,0.1275
25,0.255
26,0.2775
28,0.1275
29,0.38585856
30,0.1275
31,0.3
32,0.45520123
33,0.1275
35,0.3
36,0.277608267
37,0.15
38,0.2775
39,0.385766625
40,0.3
41,0.15
42,0.405
43,0.235766625
45,0.490766625
46,0.235766625
49,0.3
50,0.2775
54,0.405
55,0.405
56,0.3
58,0.385766625
59,0.45
60,0.1275
62,0.15
64,0.2775
65,0.1275
68,0.3
69,0.1275
70,0.2775
71,0.513266625
73,0.2775
74,0.663266625
