i,j,t
33,5,12
46,42,9
16,35,3
15,10,23
42,44,46
35,47,26
26,32,47
48,35,38
15,40,29
10,35,4
5,35,49
7,22,25
20,39,7
32,27,24
24,33,15
46,16,26
32,48,16
25,42,5
28,35,35
45,10,31
31,20,37
10,44,40
20,35,1
34,48,19
0,27,33
27,26,37
3,8,9
4,46,0
8,10,20
46,12,48
37,20,19
33,47,45
35,34,28
0,33,46
39,16,24
20,11,5
24,18,49
20,12,46
34,42,21
17,41,42
10,20,45
25,19,35
33,37,44
42,31,18
14,34,22
33,20,21
42,31,19
41,6,0
22,42,48
23,35,34
5,21,49
30,22,7
1,7,25
15,42,14
14,2,46
44,44,48
10,10,35
26,49,35
14,28,34
36,8,44
15,18,0
23,28,14
8,38,37
4,25,42
9,45,30
