,i,j,t
0,38,37,11
1,3,21,32
2,6,44,19
3,52,42,22
4,9,11,52
5,9,5,34
6,45,30,23
7,30,9,26
8,31,44,7
9,33,50,30
10,42,27,41
11,51,41,8
12,45,8,55
13,17,55,37
14,12,11,10
15,21,34,50
16,43,4,32
17,15,20,13
18,33,24,50
19,53,6,14
20,6,30,53
21,33,15,28
22,5,42,47
23,12,52,22
24,6,13,32
25,34,55,54
26,12,39,22
27,47,48,39
28,23,30,52
29,37,41,27
30,1,39,26
31,53,14,44
32,1,26,30
33,41,20,40
34,15,36,9
35,8,40,44
36,32,36,25
37,14,44,29
38,18,20,7
39,32,8,31
40,15,7,7
41,24,1,47
42,35,50,29
43,15,25,4
44,51,26,14
45,32,19,11
46,7,13,34
47,46,30,30
48,48,10,2
49,4,28,46
50,54,46,3
51,25,41,44
52,25,19,8
53,52,2,1
54,17,44,48
55,20,40,33
